Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.7412381251552,18.9412480133309,19.1600346409089,19.3993593959593,19.7059095753667,20.1104530189181,20.5906579215423,21.1241481349633,21.6885475109053,22.2614799010924,22.8205691572485,23.3434391310979,23.8077136743646,24.1910166387726,24.4649118421568,24.6588345720126,24.8352821238871,24.9991645191406,25.1437258839803,25.2622103446137,25.3478620272481,25.3939250580909,25.4730529631167,25.7007352636188,..
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.553433064242,88.4330093344384,88.2572251046343,88.0361455323111,87.7798357749499,87.4983609900321,87.2017863350389,86.9001769674517,86.6035980447517,86.3190673549669,86.0284991724475,85.7161174344451,85.3846465194761,85.0351448001542,84.668670649093,84.2862824389061,83.8890385422071,83.4779973316097,83.0542171797274,82.6240780620716,82.2127091544092,81.794797704649,81.3721542708222,80.9446986961818,..
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.354513990929,43.1520419609419,44.0295089223208,44.9784925669394,45.9937666920583,47.0701050949378,48.2022815728384,49.3850699230207,50.6132439427449,51.8815774292716,53.2917382892465,53.8637553661449,54.2979678058548,54.7325813178673,55.1579291374894,55.5738734464276,55.980276426546,56.377000259892,56.7639071287255,57.1408592155544,57.5077187031778,57.8643477747383,58.2106086137857,58.5463634043555,..
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.7224790407329,52.8926234794038,54.0043545370761,55.0445280863936,56,56.8939032662772,57.7564632930133,58.5851745819614,59.3775316348744,60.1310289535053,60.8431610396073,61.5114223949332,62.1333075212361,62.723115793241,63.51567832685,64.2992302517989,65.0850525086068,65.8732136723372,66.6637823180533,67.4568270208187,68.2524163556969,69.0506188977513,69.8515032220457,70.6551379036435,..
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.7554348168059,31.2280374899146,30.6003743426951,29.905566716031,29.1737995723752,28.43525787418,27.7201265838981,27.0585906639822,26.4808350768849,26.0170447850587,25.694689859722,25.4555618588267,25.2475667667937,25.0899726107741,25,24.9239807471655,24.8500263836871,24.7781432093764,24.708337524045,24.6406156275043,24.574983819566,24.5114484000414,24.4500156687422,24.3906919254799,..
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.3351137913914,65.2820691308217,65.1982922587168,65.0886533661558,64.9580226442175,64.811270283981,64.6532664765254,64.4888814129295,64.3229852842726,64.1612965549477,63.9992605838571,63.8252085199599,63.6382914355326,63.4392531303795,63.2288374043053,63.0077880571142,62.7768488886109,62.5367636985996,62.288276286885,62.0028837566365,61.9275339886843,61.8811657924257,61.8351492675589,61.7909396819594,..
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.1584815979004,51.2144165039062,51.7257995605469,52.2831993103027,52.5028533935547,52.6540145874023,52.8281555175781,53.063304901123,53.1358125434574,53.2848367714869,53.5085461893249,53.8076442276208,54.1821087431318,54.6319175926151,55.1570486328276,55.7574797205266,56.4331887124691,57.1841534654123,58.1308191977779,58.2934691761937,58.3659969744818,58.4382815854684,58.5075350483702,58.573795837717,..
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.6999214768623,24.1132383547332,24.5525557512625,25.0094809886101,25.4769540701509,25.9479149992596,26.415303779311,26.87206041368,27.3111249057412,27.7254372588696,28.1100162712427,28.4787972894576,28.8407036106763,29.1944442321013,29.5395099477892,29.8753915517965,30.2015798381799,30.5175656009959,30.8228396343012,31.1168927321524,31.3992156886061,31.673734726234,32.1578465036834,32.6783196323307,..
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.3356893921976,82.6509663267055,82.9609538786731,83.2655230829461,83.5645449743707,83.8578905877926,84.1454309580577,84.427037120012,84.7025801085014,84.9719309583717,85.2349607044689,85.4915403816388,85.7415410247275,85.9848336685807,86.2212893480444,86.4507790979645,86.6731739531869,86.8883449485575,87.0961631189222,87.2964994991269,87.4305564090635,87.489200269855,87.551492636772,87.6126557010527,..
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Bosnia and Herzegovina,BIH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.8761478375679,43.1975585685863,43.5181993184523,43.8380473519042,44.1570799336802,44.4752743285185,44.7926078011574,45.1090576163352,45.4246010387901,45.7392153332604,46.0528777644843,46.3655655972,46.6954224739896,47.130783484831,47.5711645087011,48.0248845752382,48.4918401819106,48.971927825824,49.4650440037758,49.9710852122997,50.4899479477034,51.0215287060993,51.5657239834305,52.1224302754935,..
Bulgaria,BGR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.196711983564,69.4859161376953,69.7808456420898,69.9193344116211,70.0869598388672,70.5075225830078,70.6844177246094,70.902099609375,71.3017349243164,71.5149307250977,72.6101653885532,72.7684860229492,72.9632821572019,73.0844879150391,73.1030578613281,73.1750030517578,73.3904571533203,73.600212097168,73.7162322998047,73.3239898681641,73.346765618041,73.4799164005224,73.7322671584613,73.9499356882481,..
Cabo Verde,CPV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.7762172320995,55.5703407979481,56.3297071979641,57.0677167011018,57.7977695763157,58.5332660925599,59.287606518789,60.0741911239572,60.906420177019,61.7974262732302,62.7419929036884,63.7260454520996,64.7486207521826,65.8085112712742,66.9045094767116,68.0354078358316,69.1999988159713,70.3970748844677,71.6254285086577,72.8838521558784,74.1607930892827,75.033738060849,75.9064245753376,76.7721471004354,..
Canada,CAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.8414764949736,79.0990234802234,79.391380674239,79.6923063348315,79.9760615882965,80.219066099279,80.4425615136782,80.6628944916604,80.8591838893921,81.0120892252937,81.1031425434213,81.1513483248791,81.183439957458,81.211183161556,81.2465670276699,81.3023011093703,81.4018945832226,81.5500341646653,81.7363672047941,81.9509888710566,82.1779279079275,82.3500897353968,82.5250564408346,82.7002565766633,..
